Participant's Number,Group,Order number,LOE,Collision with obstacles,Incorrect movements,Number of clarifications
1,Without Time Limit,1,Level 1,0,0,0
1,Without Time Limit,1,Level 2,0,1,0
1,Without Time Limit,1,Level 3,1,2,0
2,Without Time Limit,1,Level 1,0,0,0
2,Without Time Limit,1,Level 2,0,0,0
2,Without Time Limit,1,Level 3,2,2,1
3,Without Time Limit,1,Level 1,0,0,0
3,Without Time Limit,1,Level 2,0,0,0
3,Without Time Limit,1,Level 3,3,5,2
4,Without Time Limit,1,Level 1,0,0,0
4,Without Time Limit,1,Level 2,0,0,1
4,Without Time Limit,1,Level 3,3,3,1
5,Without Time Limit,1,Level 1,0,0,0
5,Without Time Limit,1,Level 2,0,2,1
5,Without Time Limit,1,Level 3,2,4,2
6,Without Time Limit,2,Level 1,0,0,0
6,Without Time Limit,2,Level 2,0,1,0
6,Without Time Limit,2,Level 3,2,4,3
7,Without Time Limit,2,Level 1,0,0,0
7,Without Time Limit,2,Level 2,0,1,0
7,Without Time Limit,2,Level 3,0,2,1
8,Without Time Limit,2,Level 1,0,0,0
8,Without Time Limit,2,Level 2,0,1,1
8,Without Time Limit,2,Level 3,1,3,2
9,Without Time Limit,2,Level 1,1,0,0
9,Without Time Limit,2,Level 2,1,1,0
9,Without Time Limit,2,Level 3,0,1,1
10,Without Time Limit,2,Level 1,0,0,0
10,Without Time Limit,2,Level 2,1,0,1
10,Without Time Limit,2,Level 3,3,2,1
11,Without Time Limit,3,Level 1,0,0,0
11,Without Time Limit,3,Level 2,0,0,0
11,Without Time Limit,3,Level 3,1,4,1
12,Without Time Limit,3,Level 1,0,0,0
12,Without Time Limit,3,Level 2,1,2,1
12,Without Time Limit,3,Level 3,2,4,1
13,Without Time Limit,3,Level 1,0,0,1
13,Without Time Limit,3,Level 2,0,0,0
13,Without Time Limit,3,Level 3,2,3,0
14,Without Time Limit,3,Level 1,0,0,1
14,Without Time Limit,3,Level 2,1,0,3
14,Without Time Limit,3,Level 3,1,3,2
15,Without Time Limit,3,Level 1,0,0,0
15,Without Time Limit,3,Level 2,0,0,1
15,Without Time Limit,3,Level 3,1,4,0
16,Without Time Limit,4,Level 1,0,0,0
16,Without Time Limit,4,Level 2,0,0,0
16,Without Time Limit,4,Level 3,2,4,2
17,Without Time Limit,4,Level 1,0,0,0
17,Without Time Limit,4,Level 2,0,1,1
17,Without Time Limit,4,Level 3,3,5,1
18,Without Time Limit,4,Level 1,0,0,0
18,Without Time Limit,4,Level 2,0,0,0
18,Without Time Limit,4,Level 3,2,5,3
19,Without Time Limit,4,Level 1,0,0,0
19,Without Time Limit,4,Level 2,0,0,0
19,Without Time Limit,4,Level 3,1,2,0
20,Without Time Limit,4,Level 1,0,0,0
20,Without Time Limit,4,Level 2,0,0,0
20,Without Time Limit,4,Level 3,1,3,0
21,Without Time Limit,5,Level 1,0,0,0
21,Without Time Limit,5,Level 2,0,1,0
21,Without Time Limit,5,Level 3,1,4,2
22,Without Time Limit,5,Level 1,0,0,1
22,Without Time Limit,5,Level 2,1,0,1
22,Without Time Limit,5,Level 3,1,5,4
23,Without Time Limit,5,Level 1,0,0,0
23,Without Time Limit,5,Level 2,0,0,0
23,Without Time Limit,5,Level 3,1,4,3
24,Without Time Limit,5,Level 1,0,0,0
24,Without Time Limit,5,Level 2,1,1,0
24,Without Time Limit,5,Level 3,1,4,2
25,Without Time Limit,5,Level 1,0,0,0
25,Without Time Limit,5,Level 2,0,1,0
25,Without Time Limit,5,Level 3,0,5,0
26,Without Time Limit,6,Level 1,0,0,0
26,Without Time Limit,6,Level 2,2,3,1
26,Without Time Limit,6,Level 3,0,3,3
27,Without Time Limit,6,Level 1,0,1,1
27,Without Time Limit,6,Level 2,1,1,1
27,Without Time Limit,6,Level 3,0,3,1
28,Without Time Limit,6,Level 1,0,0,0
28,Without Time Limit,6,Level 2,1,0,0
28,Without Time Limit,6,Level 3,1,3,1
29,Without Time Limit,6,Level 1,0,0,0
29,Without Time Limit,6,Level 2,0,0,0
29,Without Time Limit,6,Level 3,1,3,2
30,Without Time Limit,6,Level 1,1,0,0
30,Without Time Limit,6,Level 2,1,1,0
30,Without Time Limit,6,Level 3,1,3,1
